time_tick,lac_X_value,lac_Y_value,lac_Z_value
11.696263,0.115001,0.106999,0.004384
11.726309,0.126623,-0.069334,0.123797
11.756304,0.199470,-0.197769,0.133337
11.796360,0.358927,-0.015338,0.180166
11.826382,0.463620,-0.018877,0.092895
11.866412,0.469249,-0.068648,0.042951
11.896436,0.396038,-0.126524,0.106949
11.926444,0.363239,0.033452,0.031425
11.956467,0.177645,0.123166,-0.130643
11.986496,0.107082,0.061268,-0.070122
12.036517,0.487212,0.104587,-0.064679
12.056556,0.459767,-0.055408,-0.140895
12.086578,0.247416,-0.128332,-0.045970
12.126607,-0.201988,-0.029923,-0.140705
12.166611,-0.433381,-0.210906,0.225483
12.196659,-0.451411,-0.292676,0.185453
12.226636,-0.303153,-0.222914,-0.215620
12.256659,-0.152923,0.104833,-0.349206
12.296689,0.172917,0.235423,-0.042495
12.326712,0.347244,0.235853,0.360930
12.366740,0.390612,0.120751,-0.041987
12.396763,0.234122,-0.056560,0.035585
12.426785,-0.122873,-0.086284,0.018936
12.456810,-0.295629,0.016332,-0.100218
12.486832,-0.234731,0.215500,-0.158836
12.526860,-0.335405,0.056545,0.199070
12.556884,-0.428515,0.027208,0.116500
12.596906,-0.116797,0.038104,-0.140075
12.626924,-0.139028,-0.106598,0.025593
12.656953,-0.229267,0.100013,0.256212
12.686965,-0.293496,0.037161,0.112625
12.736999,0.012392,0.321003,-0.423612
12.767041,-0.100777,-0.242886,0.266093
12.787046,-0.061847,-0.491661,0.301205
12.817076,0.044808,-0.154345,-0.153697
12.847074,0.219086,-0.048651,-0.067088
12.897138,0.002683,-0.055510,0.119608
12.927161,0.023646,0.313528,-0.110804
12.967190,0.048516,-0.213277,0.187323
12.977173,0.057119,-0.238381,0.259444
13.027235,0.098073,-0.092186,0.146200
13.057256,0.071883,-0.133933,0.023144
13.087279,-0.069064,0.069285,0.229090
13.127288,0.099228,0.165202,-0.115983
13.157319,0.192371,0.143169,0.051958
13.197364,-0.002158,-0.089965,0.051318
13.227386,-0.290779,-0.274866,-0.058347
13.247400,-0.426944,-0.184650,-0.158510
13.297436,-0.011512,0.228109,-0.103537
13.307445,0.107529,0.212316,0.055436
13.357482,0.470360,-0.066810,0.350657
13.397491,0.151576,-0.697250,-0.136072
13.417526,0.344751,-0.517914,1.365514
13.457557,-0.130664,-0.494888,-0.868167
13.497587,-0.019375,0.337458,-0.269607
13.527585,-0.107193,0.879179,-0.737905
13.567626,-0.596057,0.647720,-0.343337
13.597654,-0.640889,-0.051884,0.142682
13.627680,0.015320,-0.835498,0.631928
13.657703,0.393488,-0.818024,0.424909
13.697736,-0.102410,-0.293774,-0.269631
13.727760,0.136813,0.144321,-0.200337
13.757782,0.259649,0.437423,0.162186
13.797804,-0.006543,0.262452,0.075554
13.837842,-0.079057,-0.387694,0.160501
13.857858,0.131187,-0.271346,0.036158
13.897886,0.084252,0.279332,0.029900
13.927909,-0.044886,0.607119,0.117136
13.957931,0.067071,0.417591,0.009866
13.987954,0.153152,0.120070,0.087980
14.017976,0.111072,-0.005484,0.181580
14.047998,0.031830,0.063408,0.051083
14.088013,0.450999,-0.029545,-0.359726
14.118042,-0.961721,-0.859462,-0.139111
14.148071,-0.987544,-0.493409,0.013966
14.198111,0.075988,0.350101,-0.684473
14.228108,0.537053,0.072332,0.110562
14.258156,0.565362,0.033257,0.576876
14.288179,0.173301,0.117610,0.300373
14.318201,0.801981,-1.080357,-0.714274
14.358232,0.039492,-0.352086,0.353138
14.388253,-0.826495,-0.103912,0.919236
14.418277,-0.185956,-0.008008,-0.062868
14.448300,-0.135398,1.197986,-0.093319
14.498335,0.268130,0.718123,-0.019996
14.528343,0.097865,-0.230196,0.256096
14.558378,-0.210627,-0.799239,0.404734
14.588398,-0.257582,-0.402057,0.333906
14.618422,-0.250042,0.027173,-0.018086
14.648436,0.118239,0.330970,0.195349
14.678465,0.693662,0.432671,-0.102905
14.738493,-0.239567,0.106225,0.153104
14.768523,-0.712384,-0.555845,0.143515
14.788554,-0.613567,-0.730278,-0.444976
14.828580,-0.293400,-0.785379,-0.243222
14.858605,-0.214491,-0.562831,-1.290028
14.888628,0.125678,0.329865,0.587816
14.918651,0.642456,0.759691,-0.261079
14.978697,0.696263,0.678294,-0.016705
15.038741,-0.374554,-0.021309,0.039190
15.048733,-0.345222,-0.263051,-0.005370
15.078770,-0.134189,-0.479564,-0.172610
15.128809,0.368252,-0.043098,0.196532
15.158831,0.484259,-0.121706,0.341644
15.188854,0.091912,-0.175065,0.125668
15.218876,-0.315190,0.054662,0.137704
15.248898,-0.394503,-0.089488,-0.064553
15.288905,-0.525680,-0.307139,-0.015897
15.318941,-0.354830,-0.233378,0.100524
15.348973,-0.304628,-0.011765,0.112204
15.398997,-0.168134,0.080852,0.053417
15.429033,-0.230588,0.207336,-0.107725
15.459055,0.301147,-0.009580,0.026536
15.489072,0.008812,-0.054837,0.266141
15.519102,0.027010,-0.646787,0.440041
15.559131,0.345549,0.276641,-0.050946
15.579129,0.315961,0.652708,-0.500108
15.629159,0.797788,0.123674,0.688144
15.669187,0.591720,-0.468546,0.625212
15.699217,-0.036992,-0.279554,-0.159268
15.729246,-3.194080,0.394786,-0.180262
15.759275,-0.266237,0.476576,0.064349
15.789304,-0.153326,-0.016616,0.397982
15.819303,0.487818,0.263352,0.133411
15.849348,1.136634,3.508149,-0.152267
15.879370,0.763033,6.394787,-0.194112
15.929409,-0.168125,1.373342,0.174546
15.969424,2.096796,-2.336123,0.208591
15.999448,-1.159205,-7.269074,-0.383538
16.029459,-1.387276,-6.792053,-0.883690
16.059505,0.618790,-0.425051,0.328199
16.089528,-0.275572,-0.213355,0.925295
16.129547,0.602245,0.199241,-0.566660
16.159576,-0.054963,-0.444680,0.802013
16.189605,-1.017297,-1.018200,0.405853
16.239640,2.653139,3.330153,2.053098
16.269662,0.245185,0.770593,-0.932361
16.299685,1.542272,2.795716,-1.289545
16.329707,1.193955,3.935250,-0.344317
16.359729,0.178820,0.600397,0.118344
16.389752,0.428559,0.501887,0.897205
16.419774,2.662185,-0.170640,-0.152018
16.449776,0.002328,-0.383096,0.419628
16.489828,0.681735,-0.025267,1.735824
16.519837,1.449295,-0.248276,0.382324
16.549873,1.749479,-0.779449,1.112122
16.599909,0.744254,-0.398300,0.182520
16.629904,3.089324,-0.226951,0.232798
16.659930,5.184892,-1.118712,0.127182
16.689968,-0.324312,-0.183227,-1.349767
16.719999,-3.054071,1.143451,-1.325141
16.760030,-0.314799,-2.066434,0.139526
16.790052,0.831851,-3.567288,-0.925710
16.820074,-0.045424,-2.273584,-1.466617
16.870084,-2.922570,0.118697,4.718718
16.900126,-0.879332,0.823382,-0.531976
16.930143,-1.047937,1.135043,0.026069
16.960172,-0.853563,0.054531,-0.298431
16.990200,-0.428892,0.475936,0.331333
17.020224,-0.369126,0.198963,0.818678
17.050246,0.086569,-0.551649,0.865900
17.080269,0.839946,-0.620729,0.579728
17.120284,0.499251,-0.370439,0.320889
17.170336,-0.054470,0.847853,-0.173649
17.200358,-0.881835,0.692702,-0.599579
17.210358,-0.551766,0.433006,-0.724511
17.260318,-1.731295,0.416574,0.158640
17.300328,-0.632647,0.001550,0.255672
17.320361,-0.726848,-0.728029,0.588759
17.360382,0.232243,0.453536,0.735511
17.390413,1.085971,-0.477601,0.153870
17.430445,-0.257970,-1.439121,1.265860
17.450458,-1.112635,-1.832839,0.717742
17.500496,-0.746700,-0.699623,-0.297031
17.510503,-0.645839,-0.722675,-0.275298
17.560539,-1.343572,-1.098804,-0.127391
17.590563,-0.623072,3.237868,0.085055
17.620585,-0.407757,-0.722008,-0.783576
17.660615,-0.130463,0.976939,-0.991560
17.680605,0.240346,1.408432,-0.481456
17.740664,0.837380,0.951482,0.045305
17.770694,1.166976,1.431502,-1.180067
17.800693,1.022410,0.534068,-2.126284
17.830730,0.841694,-0.673625,-2.405832
17.860757,0.153626,-0.321664,-0.759276
17.890775,-0.686349,-0.182019,-0.145114
17.930802,-0.325116,-0.229172,0.085737
17.960840,-1.251196,-0.799057,0.944774
17.990862,-2.093335,-1.413797,1.451021
18.020885,-1.025090,-0.974284,0.686248
18.070921,-0.955952,-0.918831,0.063913
18.100944,-1.289826,0.043635,0.507231
18.130966,-1.227823,0.534667,0.302611
18.160989,-1.165183,0.010323,0.374675
18.191011,-0.893479,-0.159944,0.325578
18.221033,-0.484434,0.179971,-0.438955
18.251057,-0.501907,0.215031,-0.451236
18.281077,-0.785953,-0.245955,0.124160
18.321110,-1.064564,-0.286272,0.134942
18.351109,-0.630295,-0.313445,-0.125589
18.381138,-0.693925,-0.377096,-0.287587
18.431190,-0.343199,-0.002825,0.172609
18.461213,-0.120429,0.067118,0.019658
18.491236,0.046830,0.297449,-0.043470
18.521232,-0.074219,0.067046,-0.038266
18.551280,-0.022094,-0.070537,-0.036310
18.591311,-0.172775,-0.467260,0.169604
18.621333,-0.133930,-0.294388,-0.100646
18.671370,-0.195037,-0.102749,-0.144058
18.701377,-0.405086,-0.122288,0.017859
18.731417,-0.645304,0.137134,0.254027
18.761409,-0.508879,0.263729,0.069103
18.791460,-0.459535,-0.205791,0.149011
18.821457,-0.388011,-0.251523,0.218514
18.851483,0.073188,-0.162418,0.112813
18.891536,-0.219037,-0.017636,0.140615
18.931565,-0.431862,-0.108093,0.113788
18.961576,-0.328432,-0.127124,0.093250
19.001589,-0.076224,0.101724,-0.035784
19.031639,-0.198633,-0.103893,0.189581
19.061661,-0.124934,0.118431,0.205957
19.091683,0.103954,0.270616,0.158686
19.121707,0.221710,0.377696,0.304265
19.161737,1.055733,-0.116726,0.629276
19.191760,1.645551,-0.248046,0.394494
19.221766,1.363430,0.002815,-0.190543
19.271803,-0.732567,-0.127558,0.093429
19.291835,-1.119065,0.212885,-0.639569
19.321858,-1.851875,-0.236562,0.313569
19.361886,-2.660344,-0.181200,0.641530
19.391907,-2.278484,-0.632538,-0.342519
19.431920,-1.162290,0.079587,-0.011809
19.461943,-0.530144,-0.032135,0.307048
19.481975,-0.215549,-0.465611,0.164621
19.522007,0.722044,0.255600,-0.410759
19.562037,-0.517586,0.001981,0.759482
19.592059,0.023058,-0.596006,0.380153
19.622070,0.127750,0.293365,0.329572
19.652104,-0.225946,0.629686,1.576509
19.692132,-0.514869,0.186999,-0.698848
19.722154,-0.015324,-0.637884,-0.579524
19.762185,-0.620162,-0.890207,-0.361749
19.792207,-0.664045,-0.033790,-0.118694
19.832228,-0.028099,-1.139740,-0.465889
19.862250,0.037874,-0.213220,0.172194
19.892279,-0.388277,0.488127,0.330738
19.922279,-0.081190,-0.279085,-0.299109
19.962307,0.078966,-0.642017,0.417134
19.992338,0.432724,0.081660,0.441012
20.022379,-0.369555,-0.913475,0.524971
20.062394,0.779895,0.457200,-0.063426
20.092432,0.108809,0.337632,0.420192
20.122454,-0.180358,0.783117,0.420029
20.162485,-1.832492,1.568792,0.239848
20.192507,-0.821520,-2.759631,0.336938
20.222530,-1.278756,0.699316,-0.086636
20.262546,0.101361,-1.148139,-0.736487
20.292574,-0.906720,-1.242331,0.277295
20.322603,0.222937,-1.068597,-0.043685
20.362624,0.827005,-3.989733,-0.111616
20.392643,1.654175,-4.773793,-2.646255
